,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Employed,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTrans,WorkatHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Poverty,ChildPoverty,Unemployment
1906,North Carolina,Caswell County,22833,11490,11343,867.654,13950.963,7534.89,22.833000000000002,136.998,45.666000000000004,18175,39428,2039,21692,1521,9512,2644.3360000000002,1921.424,2149.712,1036.808,1759.72,7704.72,1303.144,19.024,114.14399999999999,104.632,275.848,31.0,7076.928000000001,1873.864,551.696,19.024,4863.429,7808.886000000001,1917.9720000000002
1907,North Carolina,Catawba County,156182,76437,79745,14524.926000000001,118854.502,12338.378,312.36400000000003,6403.4619999999995,0.0,114417,48649,1480,25960,745,72258,22038.69,11272.248,16763.856,5274.834,16980.63,61274.78399999999,6286.446,144.516,650.322,1517.4180000000001,2456.772,22.6,60479.946,7659.347999999999,3974.19,144.516,22177.843999999997,32017.31,11557.468
1908,North Carolina,Chatham County,68364,33000,35364,8613.864,48811.89600000001,7998.588,136.728,957.0959999999999,68.364,50535,59684,1914,36933,1364,30832,12887.775999999998,5087.28,6197.232000000001,3206.528,3484.0160000000005,24233.951999999997,3175.6960000000004,215.82399999999998,400.816,339.15200000000004,2497.392,28.7,22630.688000000002,5488.096,2589.8880000000004,92.49600000000001,9092.412,14219.712,3828.3839999999996
1909,North Carolina,Cherokee County,27463,13483,13980,823.89,25128.645,384.48199999999997,329.556,192.24099999999999,0.0,22344,38115,2031,21152,1158,9925,2987.425,1935.375,2540.8,1141.375,1320.025,8098.8,625.275,29.775,307.675,178.65,684.825,24.6,7681.95,1250.55,972.65,19.85,4613.784000000001,6755.898,2114.651
1910,North Carolina,Chowan County,14370,6878,7492,517.32,8578.89,4857.0599999999995,114.96,0.0,0.0,11157,41979,3658,23542,1765,5439,1609.944,1381.506,1076.922,402.486,962.703,4421.907,451.43700000000007,0.0,201.243,157.731,212.12099999999998,28.2,3981.348,1158.507,288.267,10.878,3276.36,5704.89,1710.03
1911,North Carolina,Clay County,10753,5117,5636,354.849,10215.35,172.048,10.753,0.0,0.0,8607,37070,5113,25433,2548,4275,1474.875,987.525,867.825,555.75,389.025,3599.55,303.525,0.0,85.5,98.325,188.1,21.3,3206.25,624.15,427.5,12.825,1881.775,3010.84,763.4630000000001
1912,North Carolina,Cleveland County,97038,46733,50305,3202.2539999999995,71225.892,20086.865999999998,194.07600000000002,970.38,0.0,74152,40002,1561,21664,695,40429,11966.984000000002,7196.362000000001,8934.809000000001,3759.897,8611.377,34364.65,4042.9,121.28699999999999,768.151,242.57399999999998,889.438,24.0,32221.913000000004,6023.920999999999,2102.308,80.858,19310.561999999998,26685.45,9994.914
1913,North Carolina,Columbus County,56589,27882,28707,2886.0389999999998,33670.455,17203.055999999997,1924.026,226.35600000000002,0.0,43007,36261,1778,21849,1391,20496,5328.96,4693.584,4263.168,2541.504,3689.28,17790.528000000002,1967.616,81.984,163.968,184.46400000000003,307.44,26.4,15843.408000000001,3504.8160000000003,1127.28,40.992,13355.004,19862.739,3961.23
1914,North Carolina,Craven County,103374,52488,50886,7339.553999999999,68226.84,21708.54,516.87,2894.4719999999998,0.0,78048,49391,1367,26830,833,40286,13334.666000000001,8218.344,8862.92,4874.606,5035.75,32631.66,4471.746,80.572,1168.2939999999999,725.148,1248.866,21.6,29086.492000000002,9225.493999999999,1893.442,40.286,15919.596000000001,26567.118,8373.294
1915,North Carolina,Cumberland County,332766,165787,166979,37269.791999999994,148413.636,118131.93,3993.192,7986.384,665.5319999999999,241963,44737,795,23627,434,123968,40909.44,25661.376,31859.776,10537.28,15000.128,99298.36799999999,11033.152,743.808,7066.1759999999995,1487.616,4338.88,20.5,87025.536,30992.0,5702.527999999999,247.93600000000004,60563.412000000004,88182.99,33276.6
1916,North Carolina,Currituck County,25247,12522,12725,908.8919999999999,22091.125,1338.0910000000001,100.98800000000001,100.98800000000001,0.0,19425,65758,5882,29340,1339,12138,3677.8140000000003,2087.736,3325.812,1966.356,1092.42,10147.367999999999,1201.662,36.414,218.484,145.656,388.416,37.2,9212.742,2209.116,704.0039999999999,12.138,2297.477,2474.206,1211.856
1917,North Carolina,Dare County,35412,17441,17971,2514.252,31020.911999999997,637.4159999999999,106.236,212.472,0.0,27356,55640,2805,30898,1192,18411,5670.588000000001,3645.3779999999997,5155.08,2301.375,1620.1680000000001,14526.279000000002,1951.566,0.0,368.22,405.04200000000003,1141.482,20.2,13771.428,2430.252,2117.265,73.644,3151.6679999999997,4036.968,1841.424
1918,North Carolina,Davidson County,164118,80121,83997,11324.142,132607.344,14934.738000000001,492.35400000000004,2461.77,0.0,122515,45806,1650,24231,552,73207,20278.339,11566.706,17569.68,7759.941999999999,16105.54,62372.364,7101.078999999999,292.82800000000003,878.4839999999999,585.6560000000001,1976.5890000000002,24.8,60688.60300000001,8125.977,4246.005999999999,146.41400000000002,25930.644,36598.314,13457.676
1919,North Carolina,Davie County,41766,20394,21372,2714.79,35459.334,2547.7259999999997,41.766000000000005,292.36199999999997,0.0,31612,53493,3372,29234,1639,19212,6282.3240000000005,3054.708,4745.364,1921.2,3208.4039999999995,15753.84,2113.32,76.848,211.332,403.45200000000006,672.42,26.3,15676.992,2209.38,1248.78,76.848,5847.24,9063.222,2714.79
1920,North Carolina,Duplin County,59350,29020,30330,12878.95,30743.3,14540.75,178.05,237.4,0.0,38943,36679,1679,18529,812,24678,5972.076,4392.684,4664.142,3948.48,5700.618,19051.416,4244.616,0.0,370.17,246.78,740.34,26.1,19372.23,3183.462,2072.952,24.678,15609.05,24096.1,5519.55
